website	country	city
 https://www.embassypages.com/missions/embassy3857/	Finland	Manchester, Consulate
 https://www.embassypages.com/missions/embassy3858/	Finland	Middlesbrough, Consulate
 https://www.embassypages.com/missions/embassy3859/	Finland	Newcastle upon Tyne, Consulate
 https://www.embassypages.com/missions/embassy3860/	Finland	Nottingham, Consulate
 https://www.embassypages.com/missions/embassy3851/	Finland	Plymouth, Consulate
 https://www.embassypages.com/missions/embassy3863/	Finland	Sheffield, Consulate
 https://www.embassypages.com/missions/embassy24330/	Finland	Southampton, Consulate
 https://www.embassypages.com/missions/embassy4437/	France	Aberdeen, Consulate
 https://www.embassypages.com/missions/embassy4438/	France	Belfast, Consulate
 https://www.embassypages.com/missions/embassy4452/	France	Birmingham, Consulate
 https://www.embassypages.com/missions/embassy4439/	France	Brighton, Consulate
 https://www.embassypages.com/missions/embassy4440/	France	Bristol, Consulate
 https://www.embassypages.com/missions/embassy4441/	France	Cardiff, Consulate
 https://www.embassypages.com/missions/embassy4442/	France	Chester, Consulate
 https://www.embassypages.com/missions/embassy4443/	France	Dover, Consulate
 https://www.embassypages.com/missions/embassy4444/	France	Dundee, Consulate
 https://www.embassypages.com/missions/embassy4435/	France	Edinburgh, Consulate General
 https://www.embassypages.com/missions/embassy25915/	France	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy4446/	France	Guernsey, Consulate
 https://www.embassypages.com/missions/embassy4459/	France	Isle of Man, Consulate
 https://www.embassypages.com/missions/embassy4448/	France	Jersey, Consulate
 https://www.embassypages.com/missions/embassy4449/	France	Leeds, Consulate
 https://www.embassypages.com/missions/embassy4450/	France	Lerwick, Consulate
 https://www.embassypages.com/missions/embassy12519/	France	Liverpool, Consulate
 https://www.embassypages.com/missions/embassy2746/	France	Manchester, Consulate
 https://www.embassypages.com/missions/embassy4461/	France	Nottingham, Consulate
 https://www.embassypages.com/missions/embassy4456/	France	Penzance, Consulate
 https://www.embassypages.com/missions/embassy4457/	France	Plymouth, Consulate
 https://www.embassypages.com/missions/embassy4460/	France	Stornoway, Consulate
 https://www.embassypages.com/missions/embassy1240/	Germany	Aberdeen, Consulate
 https://www.embassypages.com/missions/embassy1241/	Germany	Birmingham, Consulate
 https://www.embassypages.com/missions/embassy23660/	Germany	Bristol, Consulate
 https://www.embassypages.com/missions/embassy1243/	Germany	Cardiff, Consulate
 https://www.embassypages.com/missions/embassy1244/	Germany	Dover, Consulate
 https://www.embassypages.com/missions/embassy1239/	Germany	Edinburgh, Consulate General
 https://www.embassypages.com/missions/embassy1245/	Germany	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy1258/	Germany	Guernsey, Consulate
 https://www.embassypages.com/missions/embassy22271/	Germany	Hull, Consulate
 https://www.embassypages.com/missions/embassy1257/	Germany	Jersey, Consulate
 https://www.embassypages.com/missions/embassy1249/	Germany	Kirkwall, Consulate
 https://www.embassypages.com/missions/embassy1251/	Germany	Leeds, Consulate
 https://www.embassypages.com/missions/embassy1252/	Germany	Lerwick, Consulate
 https://www.embassypages.com/missions/embassy1250/	Germany	Liverpool, Consulate
 https://www.embassypages.com/missions/embassy12578/	Germany	Londonderry, Consulate
 https://www.embassypages.com/missions/embassy1253/	Germany	Middlesbrough, Consulate
 https://www.embassypages.com/missions/embassy1254/	Germany	Newcastle upon Tyne, Consulate
 https://www.embassypages.com/missions/embassy1255/	Germany	Plymouth, Consulate
 https://www.embassypages.com/missions/embassy1256/	Germany	Southampton, Consulate
 https://www.embassypages.com/missions/embassy22776/	Ghana	Glasgow, Consulate General
 https://www.embassypages.com/missions/embassy9837/	Greece	Belfast, Consulate
 https://www.embassypages.com/missions/embassy9838/	Greece	Birmingham, Consulate
 https://www.embassypages.com/missions/embassy9839/	Greece	Edinburgh, Consulate General
 https://www.embassypages.com/missions/embassy9840/	Greece	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy9841/	Greece	Leeds, Consulate
 https://www.embassypages.com/missions/embassy2139/	Guatemala	Belfast, Consulate
 https://www.embassypages.com/missions/embassy10786/	Hungary	Belfast, Consulate
 https://www.embassypages.com/missions/embassy10773/	Hungary	Cardiff, Consulate
 https://www.embassypages.com/missions/embassy10744/	Hungary	Edinburgh, Consulate
 https://www.embassypages.com/missions/embassy10745/	Hungary	Liverpool, Consulate
 https://www.embassypages.com/missions/embassy10743/	Hungary	Torquay, Consulate
 https://www.embassypages.com/missions/embassy5656/	Iceland	Aberdeen, Consulate
 https://www.embassypages.com/missions/embassy5657/	Iceland	Belfast, Consulate
 https://www.embassypages.com/missions/embassy5658/	Iceland	Birmingham, Consulate
 https://www.embassypages.com/missions/embassy5659/	Iceland	Cardiff, Consulate
 https://www.embassypages.com/missions/embassy5660/	Iceland	Dover, Consulate
 https://www.embassypages.com/missions/embassy5661/	Iceland	Edinburgh, Consulate
 https://www.embassypages.com/missions/embassy5663/	Iceland	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy5664/	Iceland	Grimsby, Consulate
 https://www.embassypages.com/missions/embassy5665/	Iceland	Hull, Consulate
 https://www.embassypages.com/missions/embassy5666/	Iceland	Jersey, Consulate
 https://www.embassypages.com/missions/embassy5667/	Iceland	Lerwick, Consulate
 https://www.embassypages.com/missions/embassy5668/	Iceland	Liverpool, Consulate
 https://www.embassypages.com/missions/embassy12549/	Iceland	Manchester, Consulate
 https://www.embassypages.com/missions/embassy5670/	Iceland	Newcastle upon Tyne, Consulate
 https://www.embassypages.com/missions/embassy12581/	India	Belfast, Consulate
 https://www.embassypages.com/missions/embassy4918/	India	Birmingham, Consulate General
 https://www.embassypages.com/missions/embassy19109/	India	Cardiff, Consulate
 https://www.embassypages.com/missions/embassy4940/	India	Edinburgh, Consulate General
 https://www.embassypages.com/missions/embassy594/	Iraq	Manchester, Consulate General
 https://www.embassypages.com/missions/embassy9486/	Ireland	Edinburgh, Consulate General
 https://www.embassypages.com/missions/embassy22069/	Israel	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy12563/	Italy	Aberdeen, Consulate
 https://www.embassypages.com/missions/embassy7123/	Italy	Bedford, Consulate
 https://www.embassypages.com/missions/embassy7107/	Italy	Belfast, Consulate
 https://www.embassypages.com/missions/embassy7111/	Italy	Birmingham, Vice Consulate
 https://www.embassypages.com/missions/embassy7121/	Italy	Bristol, Consular Agency
 https://www.embassypages.com/missions/embassy7112/	Italy	Cardiff, Vice Consulate
 https://www.embassypages.com/missions/embassy7122/	Italy	Cheshunt, Consular Agency
 https://www.embassypages.com/missions/embassy7104/	Italy	Edinburgh, Consulate General
 https://www.embassypages.com/missions/embassy7108/	Italy	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy7119/	Italy	Greenock, Consular Agency
 https://www.embassypages.com/missions/embassy7120/	Italy	Guernsey, Consular Agency
 https://www.embassypages.com/missions/embassy6575/	Italy	Jersey, Consular Agency
 https://www.embassypages.com/missions/embassy7109/	Italy	Liverpool, Consulate
 https://www.embassypages.com/missions/embassy7105/	Italy	Manchester, Consulate
 https://www.embassypages.com/missions/embassy8395/	Italy	Newcastle upon Tyne, Consular Agency
 https://www.embassypages.com/missions/embassy7113/	Italy	Nottingham, Vice Consulate
 https://www.embassypages.com/missions/embassy26638/	Italy	Peterborough, Consular Agency
 https://www.embassypages.com/missions/embassy7125/	Italy	Watford, Consular Agency
 https://www.embassypages.com/missions/embassy22353/	Italy	Woking, Consular Agency
 https://www.embassypages.com/missions/embassy5932/	Jamaica	Birmingham, Consulate
 https://www.embassypages.com/missions/embassy21218/	Japan	Edinburgh, Consulate General
 https://www.embassypages.com/missions/embassy22267/	Jordan	Edinburgh, Consulate
 https://www.embassypages.com/missions/embassy19111/	Kazakhstan	Aberdeen, Consulate
 https://www.embassypages.com/missions/embassy22032/	Kiribati	Abergavenny, Consulate
 https://www.embassypages.com/missions/embassy17734/	Korea (Republic)	Edinburgh, Consulate
 https://www.embassypages.com/missions/embassy26042/	Latvia	Belfast, Consulate
 https://www.embassypages.com/missions/embassy21840/	Latvia	Birmingham, Consulate
 https://www.embassypages.com/missions/embassy6570/	Latvia	Cardiff, Consulate
 https://www.embassypages.com/missions/embassy26043/	Latvia	Edinburgh, Consulate
 https://www.embassypages.com/missions/embassy25831/	Libya	Manchester, Consulate General
 https://www.embassypages.com/missions/embassy6452/	Lithuania	Belfast, Consulate
 https://www.embassypages.com/missions/embassy6453/	Lithuania	Birmingham, Consulate
 https://www.embassypages.com/missions/embassy6451/	Lithuania	Cardiff, Consulate
 https://www.embassypages.com/missions/embassy1355/	Luxembourg	Edinburgh, Consulate
 https://www.embassypages.com/missions/embassy5611/	Malawi	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy5737/	Malta	Belfast, Consulate
 https://www.embassypages.com/missions/embassy5864/	Malta	Cardiff, Consulate
 https://www.embassypages.com/missions/embassy5863/	Malta	Edinburgh, Consulate
 https://www.embassypages.com/missions/embassy5862/	Malta	Isle of Man, Consulate
 https://www.embassypages.com/missions/embassy1880/	Mauritius	Belfast, Consulate
 https://www.embassypages.com/missions/embassy23329/	Mexico	Belfast, Consulate
